iter	Passed	Remaining
0	1	172
1	3	150
2	4	141
3	5	136
4	7	137
5	8	136
6	10	133
7	11	128
8	12	123
9	13	118
10	14	118
11	18	137
12	19	130
13	20	125
14	21	120
15	22	116
16	22	111
17	23	106
18	24	102
19	24	99
20	25	95
21	26	92
22	26	89
23	27	86
24	28	84
25	28	81
26	29	79
27	30	78
28	30	75
29	31	73
30	32	71
31	32	69
32	33	67
33	34	66
34	34	64
35	35	63
36	36	61
37	36	59
38	37	58
39	37	56
40	38	54
41	38	53
42	38	51
43	39	50
44	39	48
45	40	47
46	40	46
47	41	44
48	41	43
49	42	42
50	43	41
51	43	40
52	44	39
53	44	38
54	45	37
55	47	37
56	48	36
57	48	35
58	49	34
59	51	34
60	52	33
61	53	32
62	53	31
63	54	30
64	55	29
65	55	28
66	56	27
67	56	26
68	57	25
69	57	24
70	58	23
71	58	22
72	59	21
73	59	20
74	60	20
75	61	19
76	61	18
77	62	17
78	62	16
79	63	15
80	64	15
81	65	14
82	65	13
83	66	12
84	66	11
85	67	10
86	67	10
87	68	9
88	69	8
89	69	7
90	70	6
91	70	6
92	71	5
93	71	4
94	72	3
95	72	3
96	72	2
97	73	1
98	73	0
99	74	0
