iter	Passed	Remaining
0	182	182361
1	183	91798
2	185	61586
3	187	46609
4	188	37446
5	189	31463
6	190	27088
7	191	23766
8	196	21592
9	201	19916
10	202	18175
11	202	16694
12	203	15450
13	204	14377
14	204	13450
15	205	12642
16	206	11932
17	209	11419
18	210	10857
19	212	10388
20	212	9922
21	214	9517
22	214	9131
23	215	8765
24	216	8429
25	216	8114
26	217	7823
27	217	7558
28	218	7314
29	218	7080
30	219	6864
31	220	6658
32	220	6465
33	221	6284
34	226	6232
35	226	6076
36	227	5932
37	228	5786
38	229	5648
39	230	5520
40	230	5392
41	231	5269
42	231	5152
43	232	5048
44	232	4941
45	233	4841
46	233	4744
47	234	4651
48	235	4561
49	235	4476
50	237	4416
51	238	4342
52	238	4270
53	239	4200
54	241	4140
55	241	4073
56	242	4009
57	243	3946
58	243	3885
59	244	3826
60	244	3767
61	245	3710
62	245	3655
63	246	3602
64	246	3550
65	247	3501
66	247	3452
67	248	3405
68	249	3361
69	249	3316
70	252	3305
71	256	3308
72	257	3270
73	258	3232
74	258	3193
75	259	3156
76	260	3118
77	260	3082
78	261	3045
79	261	3009
80	262	2975
81	262	2942
82	263	2907
83	263	2876
84	264	2845
85	265	2816
86	268	2818
87	270	2799
88	271	2778
89	272	2756
90	273	2730
91	273	2703
92	274	2677
93	275	2651
94	275	2625
95	276	2602
96	276	2577
97	277	2553
98	277	2529
99	278	2505
100	278	2483
101	279	2460
102	279	2438
103	287	2478
104	289	2465
105	289	2444
106	290	2424
107	291	2403
108	291	2383
109	292	2363
110	292	2343
111	293	2324
112	293	2304
113	294	2286
114	295	2270
115	295	2252
116	295	2233
117	298	2229
118	299	2213
119	299	2198
120	300	2182
121	301	2166
122	301	2151
123	302	2135
124	302	2120
125	303	2105
126	304	2090
127	304	2075
128	305	2060
129	305	2045
130	306	2031
131	306	2017
132	307	2003
133	307	1989
134	308	1975
135	309	1964
136	309	1951
137	310	1939
138	311	1927
139	314	1929
140	317	1932
141	317	1920
142	318	1909
143	319	1898
144	320	1886
145	320	1876
146	321	1866
147	322	1856
148	323	1849
149	325	1841
150	326	1834
151	329	1840
152	330	1830
153	331	1822
154	332	1812
155	333	1803
156	334	1794
157	334	1784
158	335	1774
159	336	1764
160	336	1752
161	336	1742
162	337	1733
163	338	1723
164	338	1714
165	339	1704
166	339	1695
167	340	1686
168	341	1676
169	342	1674
170	348	1690
171	349	1683
172	351	1679
173	352	1672
174	352	1663
175	353	1655
176	354	1646
177	354	1639
178	355	1631
179	356	1622
180	359	1627
181	362	1628
182	363	1622
183	363	1614
184	364	1606
185	365	1598
186	365	1589
187	366	1581
188	366	1573
189	367	1565
190	367	1557
191	368	1549
192	368	1541
193	369	1534
194	369	1527
195	370	1519
196	370	1512
197	378	1531
198	379	1529
199	381	1526
200	382	1520
201	383	1514
202	383	1507
203	384	1501
204	385	1495
205	386	1488
206	386	1482
207	388	1477
208	389	1473
209	391	1472
210	394	1476
211	395	1470
212	396	1465
213	397	1461
214	398	1455
215	399	1450
216	400	1444
217	409	1469
218	410	1463
219	411	1457
220	412	1455
221	413	1449
222	414	1443
223	414	1437
224	415	1431
225	420	1438
226	421	1435
227	422	1430
228	423	1426
229	424	1421
230	425	1415
231	426	1411
232	427	1406
233	428	1401
234	428	1395
235	429	1390
236	430	1385
237	431	1380
238	440	1403
239	441	1399
240	443	1396
241	444	1390
242	444	1385
243	445	1380
244	446	1376
245	447	1370
246	451	1376
247	452	1371
248	453	1366
249	453	1361
250	454	1356
251	455	1351
252	456	1346
253	457	1342
254	457	1337
255	458	1332
256	467	1352
257	469	1348
258	469	1344
259	470	1339
260	472	1337
261	473	1333
262	474	1328
263	477	1331
264	481	1336
265	483	1332
266	483	1327
267	484	1322
268	484	1317
269	485	1313
270	486	1309
271	487	1304
272	488	1299
273	489	1296
274	496	1309
275	498	1307
276	499	1302
277	499	1298
278	500	1293
279	501	1289
280	502	1284
281	502	1280
282	503	1275
283	504	1271
284	504	1266
285	507	1267
286	508	1263
287	509	1259
288	510	1257
289	511	1253
290	513	1250
291	514	1246
292	515	1242
293	516	1239
294	516	1235
295	517	1230
296	518	1227
297	519	1223
298	520	1219
299	521	1217
300	523	1215
301	524	1212
302	525	1208
303	525	1204
304	526	1199
305	527	1195
306	527	1191
307	528	1187
308	529	1183
309	533	1186
310	535	1185
311	536	1183
312	538	1181
313	539	1178
314	539	1173
315	540	1170
316	541	1166
317	542	1163
318	543	1159
319	544	1156
320	544	1152
321	547	1152
322	549	1152
323	551	1150
324	552	1147
325	553	1144
326	554	1141
327	555	1138
328	556	1135
329	560	1137
330	564	1141
331	567	1141
332	568	1139
333	569	1136
334	570	1132
335	571	1130
336	577	1136
337	579	1135
338	583	1137
339	584	1135
340	585	1132
341	586	1128
342	589	1129
343	592	1129
344	593	1126
345	594	1123
346	596	1122
347	597	1119
348	598	1116
349	599	1113
350	600	1110
351	602	1108
352	611	1121
353	613	1118
354	614	1116
355	615	1113
356	615	1109
357	617	1106
358	617	1103
359	621	1105
360	626	1109
361	628	1107
362	629	1104
363	630	1101
364	632	1100
365	641	1112
366	642	1109
367	644	1106
368	645	1103
369	646	1100
370	647	1097
371	648	1094
372	649	1091
373	650	1089
374	653	1089
375	657	1091
376	659	1090
377	661	1087
378	662	1085
379	666	1088
380	668	1086
381	670	1084
382	671	1081
383	672	1079
384	680	1086
385	682	1086
386	683	1083
387	684	1080
388	688	1081
389	689	1078
390	693	1080
391	700	1086
392	701	1083
393	702	1080
394	703	1077
395	704	1075
396	705	1072
397	707	1070
398	708	1067
399	713	1070
400	715	1068
401	716	1065
402	717	1062
403	718	1060
404	719	1057
405	721	1056
406	723	1054
407	724	1051
408	725	1048
409	726	1045
410	728	1043
411	731	1043
412	732	1041
413	735	1040
414	736	1037
415	738	1036
416	739	1034
417	740	1031
418	741	1028
419	742	1025
420	743	1022
421	744	1019
422	746	1018
423	747	1015
424	749	1013
425	750	1011
426	751	1007
427	751	1004
428	755	1005
429	758	1004
430	759	1003
431	761	1001
432	762	998
433	762	994
434	763	991
435	764	988
436	765	985
437	765	982
438	766	979
439	767	976
440	772	979
441	774	977
442	776	976
443	777	973
444	778	971
445	779	968
446	780	965
447	780	962
448	782	960
449	784	959
450	785	956
451	786	953
452	787	950
453	788	948
454	789	945
455	790	943
456	792	941
457	793	938
458	793	935
459	795	933
460	796	930
461	804	936
462	804	933
463	805	930
